ClassName,CourseName,City,State
olympia_fields_north,Olympia Fields (North),Olympia Fields,IL
harding_park,Harding Park,San Francisco,CA
fallen_oak_at_beau_rivage_resort,Fallen Oak at Beau Rivage Resort,Saucier,MS
pine_valley,Pine Valley,Pine Valley,NJ
torrey_pines_south,Torrey Pines (South),San Diego,CA
dancing_rabbit_azaleas,Dancing Rabbit (Azaleas),Choctaw,MS
east_lake,East Lake,Atlanta,GA
black_lake,Black Lake,Onaway,MI
arcadia_bluffs_golf_club,Arcadia Bluffs Golf Club,Arcadia,MI
oak_tree_national,Oak Tree National,Edmond,OK
old_greenwood,Old Greenwood,Truckee,CA
sanctuary,Sanctuary,Sedalia,CO
pinehills_golf_clubnicklaus,Pinehills Golf Club(Nicklaus),Plymouth,MA
la_purisima,La Purisima,Lompoc,CA
royal_new_kent_tradition,Royal New Kent (Tradition),Providence Forge,VA
mid_pines_inn_and_golf_club,Mid Pines Inn and Golf Club,Southern Pines,NC
kemper_lakes,Kemper Lakes,Kildeer,IL
the_golf_club,The Golf Club,New Albany,OH
bandon_dunes,Bandon Dunes,Bandon,OR
barefoot_resort_love,Barefoot Resort (Love),North Myrtle Beach,SC
eagle_eye,Eagle Eye,Bath Township,MI
pga_west_tpc_stadium,PGA West (TPC Stadium),La Quinta,CA
shoreacres,Shoreacres,Lake Bluff,IL
kittansett,Kittansett,Marion,MA
gozzer_ranch,Gozzer Ranch,Harrison,ID
piping_rock,Piping Rock,Locust Valley,NY
pebble_beach,Pebble Beach,Carmel-by-the-Sea,CA
rock_creek_cattle_company,Rock Creek Cattle Company,Deer Lodge,MT
trump_golf_links_at_ferry_point,Trump Golf Links at Ferry Point,Bronx,NY
garden_city_golf_club,Garden City Golf Club,Garden City,NY
stone_canyon,Stone Canyon,Oro Valley,AZ
hammock_beach_resort_ocean,Hammock Beach Resort (Ocean),Palm Coast,FL
camargo,Camargo,Cincinnati,OH
grand_national_lake,Grand National (Lake),Opelika,AL
saratoga_national,Saratoga National,Saratoga Springs,NY
eagle_point,Eagle Point,Wilmington,NC
whistling_straits_golf_club_irish,Whistling Straits Golf Club (Irish),Sheboygan,WI
edgewood_tahoe,Edgewood Tahoe,Stateline,NV
pine_tree,Pine Tree,Boynton Beach,FL
shadow_creek,Shadow Creek,North Las Vegas,NV
the_tribute,The Tribute,The Colony,TX
sycamore_hills,Sycamore Hills,Fort Wayne,IN
lost_canyonssky,Lost Canyons(Sky),Simi Valley,CA
spring_hill_golf_club,Spring Hill Golf Club,Wayzata,MN
spyglass_hill,Spyglass Hill,Del Monte Forest,CA
butler_national,Butler National,Oak Brook,IL
streamsong_resort_blue,Streamsong Resort (Blue),Bowling Green,FL
