name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Barefoot Resort (Dye),33.812023,-78.74326,North Myrtle Beach,http://www.golfadvisor.com//courses/1494-barefoot-resort-golf-dye-course/,33.81024651,-78.74622345,Barefoot Resort & Golf - Dye Course,1494,//cdn.gdol.com/app/courses/image/thumb/2021.jpg,146,76,72,18,7343
Valley Club of Montecito,34.42969,-119.61085,Montecito,http://www.golfadvisor.com//courses/14940-valley-club-of-montecito/,34.43328729,-119.6158683,Valley Club of Montecito,14940,//cdn.gdol.com/app/courses/image/thumb/65409.jpg,131,72.4,72,18,6603
Cherry Hills,39.643,-104.96,Cherry Hills Village,http://www.golfadvisor.com//courses/14943-eighteen-hole-at-cherry-hills-country-club/,39.64442849,-104.9731636,Eighteen Hole at Cherry Hills Country Club,14943,//cdn.gdol.com/app/courses/image/thumb/65401.jpg,133,74.7,72,18,7348
Yale University,41.3194,-72.986,New Haven,http://www.golfadvisor.com//courses/14944-course-at-yale-the/,41.320238,-72.980754,"Course at Yale, The",14944,//cdn.gdol.com/app/courses/default-image/thumb.jpg,132,72.9,70,18,6749
Peachtree,33.881094,-84.32278,Atlanta,http://www.golfadvisor.com//courses/14946-peachtree-golf-club/,33.87678264,-84.32729617,Peachtree Golf Club,14946,//cdn.gdol.com/app/courses/image/thumb/32853.jpg,141,75.9,72,18,7414
East Lake,33.743,-84.3,Atlanta,http://www.golfadvisor.com//courses/14947-east-lake-golf-club/,33.7448116,-84.30332858,East Lake Golf Club,14947,//cdn.gdol.com/app/courses/image/thumb/67261.jpg,136,73.9,72,18,6891
Augusta National,33.5,-82.02222,Augusta,http://www.golfadvisor.com//courses/14948-eighteen-at-augusta-national-golf-club/,33.49588405,-82.02328205,Eighteen at Augusta National Golf Club,14948,//cdn.gdol.com/app/courses/image/thumb/13898.jpg,148,76.2,72,18,7445
Ocean Forest,31.213439,-81.319725,Sea Island,http://www.golfadvisor.com//courses/14950-ocean-forest-golf-club/,31.20543396,-81.32248855,Ocean Forest Golf Club,14950,//cdn.gdol.com/app/courses/image/thumb/67329.jpg,149,75.9,72,18,7321
Mauna Kea Golf Course,20.004858,-155.81902,Waimea,http://www.golfadvisor.com//courses/14951-mauna-kea-golf-course/,20.00776776,-155.8250272,Mauna Kea Golf Course,14951,//cdn.gdol.com/app/courses/image/thumb/58178.jpg,144,76.6,72,18,7370
The Challenge at Manele,20.741665,-156.903,Wailuku,http://www.golfadvisor.com//courses/14953-manele-golf-course/,20.74106249,-156.9043989,Manele Golf Course,14953,//cdn.gdol.com/app/courses/image/thumb/1740.jpg,135,73.7,72,18,7039
Shoreacres,42.298684,-87.8449,Lake Bluff,http://www.golfadvisor.com//courses/14955-shoreacres/,42.29782667,-87.83571259,Shoreacres,14955,//cdn.gdol.com/app/courses/image/thumb/36699.jpg,137,72,71,18,6521
Kemper Lakes,42.208868,-88.03852,Kildeer,http://www.golfadvisor.com//courses/14956-kemper-lakes-golf-club/,42.20951153,-88.03765297,Kemper Lakes Golf Club,14956,//cdn.gdol.com/app/courses/image/thumb/3448.jpg,143,75.2,72,18,7217
